iter	Passed	Remaining
0	61	61440
1	61	30841
2	62	20635
3	62	15517
4	62	12461
5	62	10418
6	63	8967
7	63	7879
8	63	7032
9	64	6360
10	64	5803
11	64	5334
12	65	4947
13	65	4617
14	65	4331
15	66	4073
16	66	3846
17	66	3644
18	67	3463
19	67	3300
20	67	3158
21	68	3029
22	68	2907
23	68	2796
24	69	2691
25	69	2596
26	69	2505
27	69	2423
28	70	2345
29	70	2274
30	70	2206
31	70	2144
32	71	2087
33	71	2031
34	71	1979
35	72	1931
36	72	1884
37	72	1839
38	72	1798
39	73	1759
40	73	1720
41	73	1684
42	74	1651
43	74	1619
44	74	1587
45	75	1557
46	75	1527
47	75	1499
48	75	1472
49	76	1446
50	76	1423
51	76	1399
52	77	1376
53	77	1353
54	77	1333
55	78	1315
56	78	1295
57	78	1276
58	78	1258
59	79	1239
60	79	1223
61	79	1206
62	80	1190
63	80	1174
64	80	1159
65	80	1144
66	81	1129
67	81	1115
68	81	1102
69	81	1088
70	82	1075
71	82	1063
72	82	1052
73	83	1040
74	83	1029
75	83	1018
76	84	1007
77	84	996
78	84	986
79	84	975
80	85	966
81	85	956
82	85	945
83	85	937
84	86	930
85	86	924
86	87	916
87	87	907
88	87	900
89	88	891
90	88	884
91	88	877
92	89	869
93	89	861
94	89	854
95	89	847
96	90	840
97	90	832
98	90	825
99	91	819
100	91	812
101	91	805
102	91	799
103	92	792
104	92	786
105	92	780
106	92	774
107	93	769
108	93	763
109	93	758
110	94	753
111	94	748
112	94	742
113	95	738
114	95	734
115	95	729
116	95	724
117	96	719
118	96	715
119	96	710
120	97	706
121	97	702
122	97	697
123	98	693
124	98	690
125	98	686
126	99	681
127	99	677
128	99	673
129	100	669
130	100	665
131	100	661
132	100	657
133	101	654
134	101	649
135	101	645
136	101	642
137	102	638
138	102	634
139	102	631
140	103	628
141	103	623
142	103	620
143	103	616
144	104	613
145	104	610
146	104	607
147	104	603
148	105	600
149	105	596
150	105	593
151	105	590
152	106	587
153	106	584
154	106	581
155	106	578
156	107	575
157	107	572
158	107	569
159	107	566
160	108	563
161	108	560
162	108	557
163	108	555
164	109	553
165	109	551
166	110	548
167	110	546
168	110	543
169	110	541
170	111	538
171	111	536
172	111	533
173	111	531
174	112	529
175	112	526
176	112	524
177	112	521
178	113	519
179	113	517
180	113	515
181	114	512
182	114	510
183	114	508
184	115	506
185	115	504
186	115	502
187	115	500
188	116	498
189	116	496
190	116	494
191	116	492
192	117	490
193	117	488
194	117	486
195	118	484
196	118	482
197	118	480
198	118	478
199	119	476
200	119	474
201	119	473
202	120	471
203	120	469
204	120	467
205	120	466
206	121	464
207	121	462
208	121	461
209	122	459
210	122	457
211	122	456
212	122	454
213	123	452
214	123	450
215	123	449
216	123	447
217	124	445
218	124	443
219	124	442
220	125	440
221	125	439
222	125	437
223	125	436
224	126	434
225	126	433
226	126	431
227	126	429
228	127	428
229	127	426
230	127	425
231	128	423
232	128	422
233	128	421
234	128	419
235	129	417
236	129	416
237	129	414
238	129	413
239	130	411
240	130	410
241	130	409
242	130	407
243	131	406
244	131	404
245	131	403
246	131	402
247	132	400
248	132	399
249	132	398
250	132	396
251	133	395
252	133	394
253	133	392
254	133	391
255	134	390
256	134	388
257	134	387
258	135	386
259	135	385
260	135	384
261	135	382
262	136	381
263	136	380
264	136	379
265	136	377
266	137	376
267	137	375
268	137	374
269	137	372
270	138	371
271	138	370
272	138	369
273	138	368
274	139	366
275	139	365
276	139	364
277	140	363
278	140	362
279	140	361
280	140	360
281	141	359
282	141	358
283	141	357
284	141	355
285	142	354
286	142	353
287	142	352
288	142	351
289	143	350
290	143	349
291	143	348
292	144	347
293	144	346
294	144	345
295	144	344
296	145	343
297	145	342
298	145	341
299	145	340
300	146	339
301	146	338
302	146	337
303	147	336
304	147	335
305	147	334
306	147	333
307	148	332
308	148	331
309	148	330
310	148	329
311	149	328
312	149	327
313	149	326
314	149	325
315	150	325
316	150	324
317	150	323
318	150	322
319	151	321
320	151	320
321	151	319
322	151	318
323	152	317
324	152	316
325	152	315
326	152	314
327	153	313
328	153	313
329	153	312
330	153	311
331	154	310
332	154	309
333	154	308
334	154	307
335	155	306
336	155	305
337	155	304
338	155	304
339	156	303
340	156	302
341	156	301
342	157	300
343	157	299
344	157	298
345	157	298
346	158	297
347	158	296
348	158	295
349	158	294
350	159	294
351	159	293
352	159	292
353	159	291
354	160	290
355	160	290
356	160	289
357	160	288
358	161	287
359	161	286
360	161	286
361	161	285
362	162	284
363	162	283
364	162	282
365	162	282
366	163	281
367	163	280
368	163	279
369	163	279
370	164	278
371	164	277
372	164	276
373	164	276
374	165	275
375	165	274
376	165	273
377	165	273
378	166	272
379	166	271
380	166	270
381	166	270
382	167	269
383	167	268
384	167	267
385	167	267
386	168	266
387	168	265
388	168	264
389	168	264
390	169	263
391	169	262
392	169	262
393	169	261
394	170	260
395	170	260
396	170	259
397	170	258
398	171	257
399	171	257
400	171	256
401	172	255
402	172	255
403	172	254
404	172	253
405	173	253
406	173	252
407	173	251
408	173	251
409	174	250
410	174	249
411	174	249
412	174	248
413	175	247
414	175	247
415	175	246
416	175	245
417	176	245
418	176	244
419	176	243
420	176	243
421	177	242
422	177	241
423	177	241
424	177	240
425	178	240
426	178	239
427	178	238
428	178	238
429	179	237
430	179	236
431	179	236
432	179	235
433	180	234
434	180	234
435	180	233
436	180	233
437	181	232
438	181	231
439	181	231
440	181	230
441	182	230
442	182	229
443	182	228
444	182	228
445	183	227
446	183	226
447	183	226
448	183	225
449	184	225
450	184	224
451	184	223
452	185	223
453	185	222
454	185	222
455	185	221
456	186	221
457	186	220
458	186	219
459	186	219
460	187	218
461	187	218
462	187	217
463	187	216
464	188	216
465	188	215
466	188	215
467	188	214
468	189	214
469	189	213
470	189	212
471	189	212
472	190	211
473	190	211
474	190	210
475	190	210
476	191	209
477	191	209
478	191	208
479	191	207
480	192	207
481	192	206
482	192	206
483	193	205
484	193	205
485	193	204
486	193	204
487	194	203
488	194	203
489	194	202
490	194	201
491	195	201
492	195	200
493	195	200
494	195	199
495	196	199
496	196	198
497	196	198
498	196	197
499	197	197
500	197	196
501	197	196
502	197	195
503	198	194
504	198	194
505	198	193
506	198	193
507	199	192
508	199	192
509	199	191
510	199	191
511	200	190
512	200	190
513	200	189
514	200	189
515	201	188
516	201	188
517	201	187
518	201	187
519	202	186
520	202	186
521	202	185
522	202	185
523	203	184
524	203	184
525	203	183
526	203	183
527	204	182
528	204	182
529	204	181
530	204	181
531	205	180
532	205	180
533	205	179
534	206	179
535	206	178
536	206	178
537	206	177
538	207	177
539	207	176
540	207	176
541	207	175
542	208	175
543	208	174
544	208	174
545	208	173
546	209	173
547	209	172
548	209	172
549	209	171
550	210	171
551	210	170
552	210	170
553	210	169
554	211	169
555	211	168
556	211	168
557	211	167
558	212	167
559	212	166
560	212	166
561	212	165
562	213	165
563	213	164
564	213	164
565	213	164
566	214	163
567	214	163
568	214	162
569	214	162
570	215	161
571	215	161
572	215	160
573	216	160
574	216	159
575	216	159
576	216	158
577	217	158
578	217	158
579	217	157
580	217	157
581	218	156
582	218	156
583	218	155
584	218	155
585	219	154
586	219	154
587	219	153
588	219	153
589	220	152
590	220	152
591	220	152
592	220	151
593	221	151
594	221	150
595	221	150
596	221	149
597	222	149
598	222	148
599	222	148
600	223	148
601	223	147
602	223	147
603	223	146
